Pop,A,B,C,D,E,F,G,H
Skyhigh,3:1,1:1,1:1,2:2,2:2,1:1,2:5,6:6
Skyhigh,1:1,1:2,1:1,1:2,2:2,1:1,NA:NA,6:4
Skyhigh,1:1,1:2,1:2,1:2,8:8,1:1,NA:NA,6:4
Skyhigh,1:1,1:1,1:2,2:2,1:8,1:1,1:2,4:4
Skyhigh,1:1,1:2,1:1,1:2,2:5,1:1,NA:NA,NA:NA
Skyhigh,1:1,1:1,NA:NA,4:4,1:4,NA:NA,NA:NA,5:5
Skyhigh,1:1,1:2,NA:NA,2:2,2:8,1:1,1:2,6:6
Skyhigh,1:1,1:2,1:1,2:2,2:2,1:1,1:2,4:4
Skyhigh,1:1,2:2,NA:NA,2:2,2:5,1:1,NA:NA,4:5
Skyhigh,1:1,1:1,1:1,2:2,2:5,1:1,NA:NA,4:4
Skyhigh,1:1,1:1,1:1,2:2,2:8,1:1,NA:NA,6:4
Skyhigh,1:1,1:2,1:1,2:2,2:2,1:1,1:2,6:4
Skyhigh,1:1,1:2,1:1,1:2,3:8,1:1,1:1,6:4
Skyhigh,1:1,1:2,NA:NA,3:2,2:2,1:1,NA:NA,5:5
Skyhigh,1:1,1:2,1:1,2:2,2:2,1:1,1:2,6:4
Skyhigh,1:1,4:2,1:1,2:2,3:3,1:1,1:2,4:4
Skyhigh,1:1,1:1,2:2,2:2,1:2,1:1,NA:NA,4:4
